REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Albania,ALB,2019,113,RANK,21.8,Percentage of population,F,13.661,Percentage,EADV
Albania,ALB,2019,113,RANK,21.8,Percentage of population,M,10.549,Percentage,EADV
Albania,ALB,2019,113,RANK,21.8,Percentage of population,_T,12.296,Percentage,EADV
Albania,ALB,2019,113,RANK,21.8,Percentage of population,F,7.564,Percentage,EBAS
Albania,ALB,2019,113,RANK,21.8,Percentage of population,M,9.693,Percentage,EBAS
Albania,ALB,2019,113,RANK,21.8,Percentage of population,_T,8.687,Percentage,EBAS
Albania,ALB,2019,113,RANK,21.8,Percentage of population,F,15.257,Percentage,EINT
Albania,ALB,2019,113,RANK,21.8,Percentage of population,M,13.746,Percentage,EINT
Albania,ALB,2019,113,RANK,21.8,Percentage of population,_T,14.259,Percentage,EINT
Albania,ALB,2018,108,RANK,23.0,Percentage of population,F,15.608,Percentage,EADV
Albania,ALB,2018,108,RANK,23.0,Percentage of population,M,12.05,Percentage,EADV
Albania,ALB,2018,108,RANK,23.0,Percentage of population,_T,14.014,Percentage,EADV
Albania,ALB,2018,108,RANK,23.0,Percentage of population,F,8.723,Percentage,EBAS
Albania,ALB,2018,108,RANK,23.0,Percentage of population,M,10.959,Percentage,EBAS
Albania,ALB,2018,108,RANK,23.0,Percentage of population,_T,9.907,Percentage,EBAS
Albania,ALB,2018,108,RANK,23.0,Percentage of population,F,13.674,Percentage,EINT
Albania,ALB,2018,108,RANK,23.0,Percentage of population,M,14.513,Percentage,EINT
Albania,ALB,2018,108,RANK,23.0,Percentage of population,_T,14.232,Percentage,EINT
Albania,ALB,2017,91,RANK,23.4,Percentage of population,F,14.035,Percentage,EADV
Albania,ALB,2017,91,RANK,23.4,Percentage of population,M,13.314,Percentage,EADV
Albania,ALB,2017,91,RANK,23.4,Percentage of population,_T,13.694,Percentage,EADV
Albania,ALB,2017,91,RANK,23.4,Percentage of population,F,9.766,Percentage,EBAS
Albania,ALB,2017,91,RANK,23.4,Percentage of population,M,14.307,Percentage,EBAS
Albania,ALB,2017,91,RANK,23.4,Percentage of population,_T,12.24,Percentage,EBAS
Albania,ALB,2017,91,RANK,23.4,Percentage of population,F,15.688,Percentage,EINT
Albania,ALB,2017,91,RANK,23.4,Percentage of population,M,15.09,Percentage,EINT
Albania,ALB,2017,91,RANK,23.4,Percentage of population,_T,15.294,Percentage,EINT
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,F,4.395,Percentage,EADV
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,M,3.18,Percentage,EADV
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,_T,3.874,Percentage,EADV
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,F,13.865,Percentage,EBAS
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,M,11.473,Percentage,EBAS
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,_T,12.303,Percentage,EBAS
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,F,13.365,Percentage,EINT
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,M,9.538,Percentage,EINT
Argentina,ARG,2019,100,RANK,35.5,Percentage of population,_T,11.232,Percentage,EINT
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,F,4.201,Percentage,EADV
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,M,2.881,Percentage,EADV
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,_T,3.64,Percentage,EADV
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,F,13.153,Percentage,EBAS
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,M,9.988,Percentage,EBAS
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,_T,11.082,Percentage,EBAS
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,F,13.25,Percentage,EINT
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,M,8.587,Percentage,EINT
Argentina,ARG,2018,106,RANK,32.0,Percentage of population,_T,10.691,Percentage,EINT
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,F,3.972,Percentage,EADV
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,M,2.322,Percentage,EADV
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,_T,3.268,Percentage,EADV
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,F,12.48,Percentage,EBAS
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,M,9.525,Percentage,EBAS
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,_T,10.511,Percentage,EBAS
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,F,11.25,Percentage,EINT
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,M,7.428,Percentage,EINT
Argentina,ARG,2017,104,RANK,25.7,Percentage of population,_T,9.129,Percentage,EINT
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,F,12.452,Percentage,EADV
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,M,12.706,Percentage,EADV
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,_T,12.573,Percentage,EADV
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,F,5.479,Percentage,EBAS
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,M,17.148,Percentage,EBAS
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,_T,12.74,Percentage,EBAS
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,F,9.774,Percentage,EINT
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,M,14.245,Percentage,EINT
Armenia,ARM,2019,26,RANK,26.4,Percentage of population,_T,11.999,Percentage,EINT
Austria,AUT,2019,19,RANK,13.9,Percentage of population,F,3.477,Percentage,EADV
Austria,AUT,2019,19,RANK,13.9,Percentage of population,M,2.686,Percentage,EADV
Austria,AUT,2019,19,RANK,13.9,Percentage of population,_T,3.066,Percentage,EADV
Austria,AUT,2019,19,RANK,13.9,Percentage of population,F,8.793,Percentage,EBAS
Austria,AUT,2019,19,RANK,13.9,Percentage of population,M,12.576,Percentage,EBAS
Austria,AUT,2019,19,RANK,13.9,Percentage of population,_T,10.715,Percentage,EBAS
Austria,AUT,2019,19,RANK,13.9,Percentage of population,F,3.891,Percentage,EINT
Austria,AUT,2019,19,RANK,13.9,Percentage of population,M,4.085,Percentage,EINT
Austria,AUT,2019,19,RANK,13.9,Percentage of population,_T,3.997,Percentage,EINT
Austria,AUT,2018,23,RANK,13.3,Percentage of population,F,3.419,Percentage,EADV
Austria,AUT,2018,23,RANK,13.3,Percentage of population,M,3.187,Percentage,EADV
Austria,AUT,2018,23,RANK,13.3,Percentage of population,_T,3.297,Percentage,EADV
Austria,AUT,2018,23,RANK,13.3,Percentage of population,F,9.635,Percentage,EBAS
Austria,AUT,2018,23,RANK,13.3,Percentage of population,M,13.329,Percentage,EBAS
Austria,AUT,2018,23,RANK,13.3,Percentage of population,_T,11.453,Percentage,EBAS
Austria,AUT,2018,23,RANK,13.3,Percentage of population,F,4.203,Percentage,EINT
Austria,AUT,2018,23,RANK,13.3,Percentage of population,M,4.401,Percentage,EINT
Austria,AUT,2018,23,RANK,13.3,Percentage of population,_T,4.311,Percentage,EINT
Austria,AUT,2017,17,RANK,14.3,Percentage of population,F,3.322,Percentage,EADV
Austria,AUT,2017,17,RANK,14.3,Percentage of population,M,3.11,Percentage,EADV
Austria,AUT,2017,17,RANK,14.3,Percentage of population,_T,3.212,Percentage,EADV
Austria,AUT,2017,17,RANK,14.3,Percentage of population,F,11.089,Percentage,EBAS
Austria,AUT,2017,17,RANK,14.3,Percentage of population,M,14.956,Percentage,EBAS
Austria,AUT,2017,17,RANK,14.3,Percentage of population,_T,13.005,Percentage,EBAS
Austria,AUT,2017,17,RANK,14.3,Percentage of population,F,4.548,Percentage,EINT
Austria,AUT,2017,17,RANK,14.3,Percentage of population,M,5.56,Percentage,EINT
Austria,AUT,2017,17,RANK,14.3,Percentage of population,_T,5.105,Percentage,EINT
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,F,3.05,Percentage,EADV
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,M,3.274,Percentage,EADV
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,_T,3.154,Percentage,EADV
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,F,11.678,Percentage,EBAS
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,M,11.722,Percentage,EBAS
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,_T,11.706,Percentage,EBAS
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,F,5.226,Percentage,EINT
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,M,5.357,Percentage,EINT
Belgium,BEL,2019,21,RANK,14.1,Percentage of population,_T,5.302,Percentage,EINT
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,F,3.331,Percentage,EADV
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,M,3.586,Percentage,EADV
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,_T,3.45,Percentage,EADV
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,F,12.698,Percentage,EBAS
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,M,12.14,Percentage,EBAS
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,_T,12.357,Percentage,EBAS
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,F,6.139,Percentage,EINT
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,M,5.816,Percentage,EINT
Belgium,BEL,2018,19,RANK,14.8,Percentage of population,_T,5.951,Percentage,EINT
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,F,9.299,Percentage,EADV
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,M,11.696,Percentage,EADV
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,_T,11.085,Percentage,EADV
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,F,8.87,Percentage,EBAS
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,M,5.003,Percentage,EBAS
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,_T,6.447,Percentage,EBAS
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,F,12.797,Percentage,EINT
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,M,6.809,Percentage,EINT
Burkina Faso,BFA,2018,123,RANK,41.4,Percentage of population,_T,8.711,Percentage,EINT
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,F,1.956,Percentage,EADV
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,M,1.835,Percentage,EADV
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,1.906,Percentage,EADV
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,F,14.147,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,M,11.956,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,12.799,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,F,2.987,Percentage,EINT
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,M,3.672,Percentage,EINT
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,3.388,Percentage,EINT
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,2.22,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,2.451,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,_T,2.315,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,15.663,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,14.592,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,_T,14.998,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,4.141,Percentage,EINT
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,4.763,Percentage,EINT
