REF_AREA_LABEL,REF_AREA,TIME_PERIOD,OBS_VALUE_x,UNIT_MEASURE,OBS_VALUE_y,UNIT_MEASURE_LABEL_x,SEX,UNIT_MEASURE_LABEL_y,MEAN_OBS_OF_ALL_LEVEL_OF_KNOWLEDGE
Angola,AGO,2018,94.0,RANK,32.3,Percentage of population,_T,Percentage,21.328333333333333
Albania,ALB,2019,113.0,RANK,21.8,Percentage of population,_T,Percentage,12.735888888888889
Albania,ALB,2018,108.0,RANK,23.0,Percentage of population,_T,Percentage,12.735888888888889
Albania,ALB,2017,91.0,RANK,23.4,Percentage of population,_T,Percentage,12.735888888888889
Argentina,ARG,2019,100.0,RANK,35.5,Percentage of population,_T,Percentage,8.414444444444445
Argentina,ARG,2018,106.0,RANK,32.0,Percentage of population,_T,Percentage,8.414444444444445
Argentina,ARG,2017,104.0,RANK,25.7,Percentage of population,_T,Percentage,8.414444444444445
Armenia,ARM,2019,26.0,RANK,26.4,Percentage of population,_T,Percentage,14.26988888888889
Austria,AUT,2019,19.0,RANK,13.9,Percentage of population,_T,Percentage,6.4623333333333335
Austria,AUT,2018,23.0,RANK,13.3,Percentage of population,_T,Percentage,6.4623333333333335
Austria,AUT,2017,17.0,RANK,14.3,Percentage of population,_T,Percentage,6.4623333333333335
Belgium,BEL,2019,21.0,RANK,14.1,Percentage of population,_T,Percentage,7.457555555555555
Belgium,BEL,2018,19.0,RANK,14.8,Percentage of population,_T,Percentage,7.457555555555555
Benin,BEN,2019,88.0,RANK,38.5,Percentage of population,_T,Percentage,1.6986666666666668
Burkina Faso,BFA,2018,123.0,RANK,41.4,Percentage of population,_T,Percentage,8.747666666666667
Bulgaria,BGR,2019,111.0,RANK,23.8,Percentage of population,_T,Percentage,7.305555555555555
Bulgaria,BGR,2018,116.0,RANK,22.6,Percentage of population,_T,Percentage,7.305555555555555
Bulgaria,BGR,2017,117.0,RANK,22.0,Percentage of population,_T,Percentage,7.305555555555555
Bolivia,BOL,2019,84.0,RANK,37.2,Percentage of population,_T,Percentage,4.568444444444444
Bolivia,BOL,2018,62.0,RANK,39.9,Percentage of population,_T,Percentage,4.568444444444444
Switzerland,CHE,2019,8.0,RANK,15.5,Percentage of population,_T,Percentage,5.363333333333333
Switzerland,CHE,2018,11.0,RANK,16.0,Percentage of population,_T,Percentage,5.363333333333333
Switzerland,CHE,2017,9.0,RANK,14.6,Percentage of population,_T,Percentage,5.363333333333333
Chile,CHL,2017,44.0,RANK,8.5,Percentage of population,_T,Percentage,7.451555555555554
Colombia,COL,2019,131.0,RANK,36.5,Percentage of population,_T,Percentage,10.017666666666667
Colombia,COL,2018,135.0,RANK,35.5,Percentage of population,_T,Percentage,10.017666666666667
Colombia,COL,2017,129.0,RANK,35.9,Percentage of population,_T,Percentage,10.017666666666667
Costa Rica,CRI,2019,77.0,RANK,23.9,Percentage of population,_T,Percentage,9.020666666666667
Costa Rica,CRI,2018,81.0,RANK,22.9,Percentage of population,_T,Percentage,9.020666666666667
Costa Rica,CRI,2017,73.0,RANK,22.1,Percentage of population,_T,Percentage,9.020666666666667
Cyprus,CYP,2019,36.0,RANK,14.3,Percentage of population,_T,Percentage,9.268444444444444
Cyprus,CYP,2018,46.0,RANK,14.7,Percentage of population,_T,Percentage,9.268444444444444
Cyprus,CYP,2017,69.0,RANK,15.4,Percentage of population,_T,Percentage,9.268444444444444
Czechia,CZE,2019,20.0,RANK,9.5,Percentage of population,_T,Percentage,4.9431111111111115
Czechia,CZE,2018,14.0,RANK,10.1,Percentage of population,_T,Percentage,4.9431111111111115
Czechia,CZE,2017,13.0,RANK,9.6,Percentage of population,_T,Percentage,4.9431111111111115
Germany,DEU,2019,74.0,RANK,16.1,Percentage of population,_T,Percentage,4.516666666666667
Denmark,DNK,2019,37.0,RANK,12.1,Percentage of population,_T,Percentage,5.824111111111112
Dominican Republic,DOM,2019,97.0,RANK,25.8,Percentage of population,_T,Percentage,6.265555555555555
Dominican Republic,DOM,2018,100.0,RANK,28.3,Percentage of population,_T,Percentage,6.265555555555555
Dominican Republic,DOM,2017,114.0,RANK,31.2,Percentage of population,_T,Percentage,6.265555555555555
Ecuador,ECU,2019,94.0,RANK,25.0,Percentage of population,_T,Percentage,4.520777777777777
Ecuador,ECU,2018,92.0,RANK,23.2,Percentage of population,_T,Percentage,4.520777777777777
Ecuador,ECU,2017,82.0,RANK,21.5,Percentage of population,_T,Percentage,4.520777777777777
"Egypt, Arab Rep.",EGY,2017,59.0,RANK,32.5,Percentage of population,_T,Percentage,12.030875
Spain,ESP,2019,14.0,RANK,21.0,Percentage of population,_T,Percentage,15.602888888888888
Spain,ESP,2018,31.0,RANK,20.7,Percentage of population,_T,Percentage,15.602888888888888
Spain,ESP,2017,31.0,RANK,21.5,Percentage of population,_T,Percentage,15.602888888888888
Estonia,EST,2019,5.0,RANK,20.7,Percentage of population,_T,Percentage,6.405111111111111
Estonia,EST,2018,5.0,RANK,21.7,Percentage of population,_T,Percentage,6.405111111111111
Estonia,EST,2017,8.0,RANK,21.9,Percentage of population,_T,Percentage,6.405111111111111
Finland,FIN,2019,1.0,RANK,12.2,Percentage of population,_T,Percentage,9.786444444444445
Finland,FIN,2018,1.0,RANK,11.6,Percentage of population,_T,Percentage,9.786444444444445
Finland,FIN,2017,1.0,RANK,12.0,Percentage of population,_T,Percentage,9.786444444444445
France,FRA,2019,60.0,RANK,13.8,Percentage of population,_T,Percentage,10.32588888888889
United Kingdom,GBR,2017,27.0,RANK,18.6,Percentage of population,_T,Percentage,4.572555555555556
Georgia,GEO,2019,25.0,RANK,19.5,Percentage of population,_T,Percentage,12.271444444444445
Georgia,GEO,2018,24.0,RANK,20.1,Percentage of population,_T,Percentage,12.271444444444445
Georgia,GEO,2017,37.0,RANK,21.9,Percentage of population,_T,Percentage,12.271444444444445
Guinea,GIN,2018,126.0,RANK,43.7,Percentage of population,_T,Percentage,13.925666666666666
Greece,GRC,2019,68.0,RANK,17.7,Percentage of population,_T,Percentage,19.24088888888889
Greece,GRC,2018,69.0,RANK,17.9,Percentage of population,_T,Percentage,19.24088888888889
Greece,GRC,2017,53.0,RANK,18.5,Percentage of population,_T,Percentage,19.24088888888889
Honduras,HND,2019,136.0,RANK,48.0,Percentage of population,_T,Percentage,7.682555555555556
Honduras,HND,2018,136.0,RANK,50.4,Percentage of population,_T,Percentage,7.682555555555556
Honduras,HND,2017,134.0,RANK,49.8,Percentage of population,_T,Percentage,7.682555555555556
Croatia,HRV,2019,63.0,RANK,18.3,Percentage of population,_T,Percentage,9.565222222222223
Croatia,HRV,2018,67.0,RANK,18.3,Percentage of population,_T,Percentage,9.565222222222223
Croatia,HRV,2017,66.0,RANK,19.3,Percentage of population,_T,Percentage,9.565222222222223
Hungary,HUN,2019,80.0,RANK,12.3,Percentage of population,_T,Percentage,5.079888888888889
Hungary,HUN,2018,63.0,RANK,12.3,Percentage of population,_T,Percentage,5.079888888888889
Hungary,HUN,2017,54.0,RANK,12.8,Percentage of population,_T,Percentage,5.079888888888889
Indonesia,IDN,2019,90.0,RANK,9.4,Percentage of population,_T,Percentage,4.747111111111111
